Week,Python,R,SQL,Java
30-09-12,6,9,29,75
07-10-12,6,8,29,73
14-10-12,6,9,29,75
21-10-12,6,9,28,76
28-10-12,6,9,27,71
04-11-12,6,9,28,70
11-11-12,6,9,27,68
18-11-12,6,10,27,70
25-11-12,6,10,28,71
02-12-12,6,10,28,70
09-12-12,6,10,27,68
16-12-12,6,10,26,65
23-12-12,4,9,17,59
30-12-12,5,8,18,58
06-01-13,6,8,27,77
13-01-13,6,8,27,100
20-01-13,6,8,27,79
27-01-13,6,8,28,77
03-02-13,6,8,27,79
10-02-13,6,8,27,74
17-02-13,6,8,28,78
24-02-13,7,8,28,80
03-03-13,7,8,28,81
10-03-13,6,8,28,78
17-03-13,7,8,27,75
24-03-13,6,8,25,71
31-03-13,6,8,25,71
07-04-13,7,8,28,74
14-04-13,7,8,29,80
21-04-13,7,8,28,87
28-04-13,6,7,25,73
05-05-13,6,8,26,72
12-05-13,7,8,28,74
19-05-13,6,8,27,72
26-05-13,6,7,26,69
02-06-13,6,8,27,70
09-06-13,6,8,27,69
16-06-13,6,8,27,79
23-06-13,6,8,27,77
30-06-13,6,7,25,73
07-07-13,6,7,26,73
14-07-13,6,8,26,71
21-07-13,6,7,26,68
28-07-13,6,7,26,67
04-08-13,6,7,25,67
11-08-13,6,7,24,65
18-08-13,6,7,25,67
25-08-13,6,7,25,67
01-09-13,6,8,25,67
08-09-13,7,8,26,69
15-09-13,6,8,25,69
22-09-13,7,8,26,71
29-09-13,7,8,26,70
06-10-13,7,8,27,72
13-10-13,7,8,25,90
20-10-13,7,8,27,86
27-10-13,7,8,25,75
03-11-13,7,9,26,74
10-11-13,7,9,26,74
17-11-13,7,10,27,73
24-11-13,7,10,25,69
01-12-13,7,10,25,69
08-12-13,7,10,26,68
15-12-13,7,10,25,67
22-12-13,5,9,16,60
29-12-13,5,7,15,57
05-01-14,7,8,24,66
12-01-14,7,8,24,88
19-01-14,7,8,25,85
26-01-14,7,8,25,75
02-02-14,7,8,25,73
09-02-14,7,8,25,72
16-02-14,7,8,26,75
23-02-14,7,8,26,73
02-03-14,7,8,26,71
09-03-14,7,8,26,72
16-03-14,7,8,25,72
23-03-14,8,8,26,72
30-03-14,7,8,26,71
06-04-14,7,8,26,71
13-04-14,7,8,24,77
20-04-14,7,8,25,77
27-04-14,7,8,22,71
04-05-14,7,8,24,72
11-05-14,7,8,25,69
18-05-14,7,8,27,70
25-05-14,6,7,24,67
01-06-14,7,8,26,68
